City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Paamiut,GL,25.5,snow,61.994,-49.6678,Pistut
416,Karatau,KZ,33.24,clear sky,43.1667,70.4667,Baza Zika
419,Newark,US,43.45,light rain,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
423,Bonavista,CA,34.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
424,Brae,GB,48.11,overcast clouds,60.3964,-1.353,Busta House Hotel
428,Zhanakorgan,KZ,28.22,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
439,Ucluelet,CA,44.1,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
441,Hofn,IS,29.25,overcast clouds,64.2539,-15.2082,Hótel Höfn
458,Riviere-Au-Renard,CA,36.34,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
477,Fortuna,US,46.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
486,Takab,IR,25.92,overcast clouds,36.4009,47.1133,نانوایی جواد
488,Nemuro,JP,22.91,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
489,Kalat,PK,36.73,clear sky,29.0225,66.5916,PHE Rest House
493,Lebork,PL,38.98,overcast clouds,54.5392,17.7501,Vega
498,Valmiera,LV,26.42,broken clouds,57.5411,25.4275,Hotel Naktsmājas
504,Kamiiso,JP,22.12,light snow,41.8167,140.65,Business Inn Abe
505,Broome,US,39.78,light rain,42.2506,-75.833,Chenango Valley State Park
523,Abbeville,FR,47.48,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
525,Narsaq,GL,21.42,snow,60.9167,-46.05,Sleep In Narsaq
529,Eureka,US,47.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
530,Kalmar,SE,34.14,broken clouds,56.6616,16.3616,First Hotel Witt
532,Wuwei,CN,21.42,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
534,Ayni,TJ,23.61,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
539,Powell,US,30.94,mist,40.1578,-83.0752,The Brig
545,Vysokovsk,RU,24.66,snow,56.3167,36.55,Motel'
551,Visby,SE,34.02,broken clouds,57.6409,18.296,Best Western Solhem Hotel Visby
566,Bergen,NO,43.23,light intensity drizzle rain,60.392,5.328,Clarion Collection Hotel Havnekontoret
573,Goreloye,RU,28.45,light snow,52.937,41.5043,Berendey
574,Olafsvik,IS,26.28,broken clouds,64.8945,-23.7142,Hotel Olafsvik
575,Aubergenville,FR,46.81,overcast clouds,48.96,1.8547,Restaurant Campanile Epône
576,Traunreut,DE,48.6,overcast clouds,47.9627,12.5923,Mozart
577,North Bend,US,42.15,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
583,Bud,US,26.31,snow,39.447,-86.1758,Ted McQuinn Trust
584,Pictou,CA,43.45,overcast clouds,45.6834,-62.7153,Braeside Country Inn
586,Svetlyy,RU,35.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
593,Namie,JP,35.96,broken clouds,37.4833,141.0,いこいの村なみえ
598,Zubtsov,RU,26.6,light snow,56.1753,34.5894,Rogovo
600,Nikolsk,RU,31.21,overcast clouds,53.7189,46.0712,Гостиница Центральная
601,Saint-Raymond,CA,32.34,light snow,45.467,-73.6095,La Tour Belvedere hotel
603,Marfino,RU,24.94,snow,55.7028,37.3822,Nemchinovka-Park
605,Hami,CN,26.19,broken clouds,42.8,93.45,Laoyutang Resort
608,San Antonio,US,35.35,moderate rain,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
615,Laurel,US,45.88,light rain,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
622,Maniitsoq,GL,21.43,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
623,Chalons-En-Champagne,FR,47.43,overcast clouds,48.9539,4.3672,Hotel D'Angleterre
627,Korla,CN,27.81,overcast clouds,41.7597,86.1469,Gulisitan Hotel
642,San Miguel De Cauri,PE,47.14,overcast clouds,-10.1,-76.5833,San Miguel de Cauri
