City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kabansk,RU,52.0486,106.6528,-12.51,98,79,3.78,broken clouds
80,College,US,64.8569,-147.8028,-26.0,61,6,4.41,clear sky
81,Lompoc,US,34.6391,-120.4579,49.93,69,0,3.44,clear sky
82,Husavik,IS,66.0449,-17.3389,12.11,91,100,8.21,light snow
83,Avrille,FR,47.5,-0.5833,45.14,83,100,6.31,overcast clouds
84,Kruisfontein,ZA,-34.0033,24.7314,71.89,64,76,22.64,broken clouds
85,Butaritari,KI,3.0707,172.7902,81.14,79,91,13.13,light rain
86,Ola,RU,59.5833,151.2833,-2.07,81,87,12.12,overcast clouds
87,Progreso,MX,21.2833,-89.6667,75.31,77,100,17.43,overcast clouds
88,Westport,US,41.1415,-73.3579,42.58,97,100,1.01,light rain
89,Codrington,AU,-38.2667,141.9667,56.48,68,17,12.44,few clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,8.05,broken clouds
91,Rapar,IN,23.5667,70.6333,70.21,25,0,6.58,clear sky
92,Dicabisagan,PH,17.0818,122.4157,73.17,83,75,0.96,broken clouds
93,Jose Bonifacio,BR,-21.0528,-49.6883,75.6,79,100,6.46,overcast clouds
94,Manggar,ID,-2.8833,108.2667,79.86,80,100,7.76,overcast clouds
95,Barrow,US,71.2906,-156.7887,-25.58,68,20,0.0,few clouds
96,Quelimane,MZ,-17.8786,36.8883,86.49,59,99,9.13,overcast clouds
97,Hithadhoo,MV,-0.6,73.0833,82.13,69,100,4.27,overcast clouds
98,Imbituba,BR,-28.24,-48.6703,89.82,58,0,14.12,clear sky
99,Cape Town,ZA,-33.9258,18.4232,75.61,50,40,5.99,scattered clouds
100,Kaitangata,NZ,-46.2817,169.8464,55.92,76,100,2.75,light rain
101,Prince George,CA,53.9166,-122.753,15.3,92,90,8.05,light snow
102,Nara,JP,34.6851,135.8049,43.88,62,100,6.93,overcast clouds
103,Ribeira Grande,PT,38.5167,-28.7,64.8,59,20,8.05,few clouds
104,Prievidza,SK,48.7745,18.6275,43.11,85,22,2.66,few clouds
105,Lokosovo,RU,61.1333,74.8167,20.59,94,100,9.73,overcast clouds
106,Salinopolis,BR,-0.6136,-47.3561,81.63,79,69,9.46,light rain
107,Honningsvag,NO,70.9821,25.9704,27.36,68,100,12.37,overcast clouds
108,Bambous Virieux,MU,-20.3428,57.7575,79.21,90,100,25.32,moderate rain
109,Jinxiang,CN,27.4327,120.6062,46.89,88,100,10.2,light rain
110,Sao Francisco Do Sul,BR,-26.2433,-48.6381,83.12,64,12,6.98,few clouds
111,Albany,US,42.6001,-73.9662,42.8,93,100,0.67,light rain
112,Letterkenny,IE,54.95,-7.7333,53.49,76,100,18.92,overcast clouds
113,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,27.63,heavy snow
114,Coihaique,CL,-45.5752,-72.0662,59.61,82,75,9.22,broken clouds
115,Severo-Kurilsk,RU,50.6789,156.125,29.57,82,100,9.4,overcast clouds
116,Nicolas Bravo,MX,18.45,-88.9167,77.88,92,53,6.24,broken clouds
117,Porto Santo,PT,33.072,-16.3415,67.91,88,40,12.66,scattered clouds
118,Grand Gaube,MU,-20.0064,57.6608,79.38,89,100,18.01,light rain
119,Vallenar,CL,-28.5708,-70.7581,73.92,45,0,5.53,clear sky
120,Chokurdakh,RU,70.6333,147.9167,-29.07,100,94,3.58,overcast clouds
121,Benjamin Constant,BR,-4.3831,-70.0311,73.49,98,100,2.71,light rain
122,Kamaishi,JP,39.2667,141.8833,29.48,66,15,12.8,few clouds
123,Touros,BR,-5.1989,-35.4608,86.99,60,70,13.18,broken clouds
124,Kenora,CA,49.8167,-94.4337,-32.82,100,78,2.86,broken clouds
125,Vardo,NO,70.3705,31.1107,23.2,86,40,9.22,scattered clouds
126,Hasaki,JP,35.7333,140.8333,41.4,50,100,18.57,overcast clouds
127,Sakakah,SA,29.9697,40.2064,69.76,26,97,11.88,overcast clouds
128,Witu,KE,-2.3889,40.4382,84.36,64,100,12.35,overcast clouds
129,Merauke,ID,-8.4667,140.3333,81.43,79,86,12.97,overcast clouds
130,Anqing,CN,30.5092,117.0506,36.91,89,100,5.99,light rain
131,Georgetown,MY,5.4112,100.3354,83.95,87,20,3.0,few clouds
132,Pyaozerskiy,RU,65.8333,31.1667,10.56,97,99,3.36,overcast clouds
133,Namatanai,PG,-3.6667,152.4333,78.37,84,100,7.67,light rain
134,Chicama,PE,-7.8447,-79.1469,72.75,69,96,5.95,overcast clouds
135,Poltava,UA,49.5937,34.5407,30.43,97,100,3.11,overcast clouds
136,Muyezerskiy,RU,63.9333,31.65,0.46,100,73,1.45,broken clouds
137,San Policarpo,PH,12.1791,125.5072,78.67,86,100,13.98,light rain
138,Bluff,NZ,-46.6,168.3333,53.8,62,100,8.21,overcast clouds
139,Victoria,HK,22.2855,114.1577,56.32,84,99,5.99,overcast clouds
140,Egvekinot,RU,66.3167,-179.1667,-9.96,77,3,19.95,clear sky
141,Bathsheba,BB,13.2167,-59.5167,79.74,69,8,15.9,clear sky
142,Umm Lajj,SA,25.0213,37.2685,72.88,69,0,10.29,clear sky
143,Hamilton,US,39.1834,-84.5333,33.64,94,100,4.0,freezing rain
144,Isangel,VU,-19.55,169.2667,79.05,87,100,6.93,overcast clouds
145,Lagoa,PT,39.05,-27.9833,57.6,74,99,9.8,overcast clouds
146,Ornes,NO,66.8689,13.7078,20.84,73,98,12.71,overcast clouds
147,Abu Dhabi,AE,24.4667,54.3667,70.97,69,0,15.32,clear sky
148,Kapaa,US,22.0752,-159.319,66.11,59,5,6.87,clear sky
149,Terrace Bay,CA,48.7834,-87.1,-16.24,97,47,6.69,scattered clouds
150,Kahului,US,20.8947,-156.47,71.83,78,0,5.75,clear sky
151,Nikolskoye,RU,59.7035,30.7861,19.29,99,82,1.74,broken clouds
152,Ayan,RU,56.45,138.1667,-2.42,83,100,16.64,overcast clouds
153,Torbay,CA,47.6666,-52.7314,35.58,78,71,7.0,broken clouds
154,Tarakan,ID,3.3,117.6333,80.98,76,68,11.63,light rain
155,Saint-Philippe,RE,-21.3585,55.7679,79.11,90,100,38.92,heavy intensity rain
156,Iqaluit,CA,63.7506,-68.5145,-5.31,63,100,8.99,light snow
157,Grindavik,IS,63.8424,-22.4338,27.07,80,40,10.36,scattered clouds
158,Kuala Terengganu,MY,5.3302,103.1408,82.35,83,40,5.75,scattered clouds
159,Port Blair,IN,11.6667,92.75,76.8,72,23,8.7,few clouds
160,Ponta Do Sol,PT,32.6667,-17.1,68.63,81,92,12.21,light rain
161,Pangnirtung,CA,66.1451,-65.7125,2.1,99,100,2.64,light snow
162,Avera,US,33.194,-82.5271,61.48,92,100,9.82,overcast clouds
163,Pemangkat,ID,1.1667,108.9667,77.74,87,100,9.44,light rain
164,Qaanaaq,GL,77.484,-69.3632,-14.33,65,81,8.34,broken clouds
165,Krosno,PL,49.6887,21.7706,35.91,100,82,6.51,broken clouds
166,Bintulu,MY,3.1667,113.0333,81.01,94,40,1.01,thunderstorm
167,Snyder,US,32.7179,-100.9176,15.94,73,75,20.71,broken clouds
168,Doha,QA,25.2867,51.5333,71.58,53,0,6.91,clear sky
169,San Patricio,US,28.017,-97.5169,42.89,81,100,20.15,overcast clouds
170,Warud,IN,21.4667,78.2667,73.4,26,0,8.46,clear sky
171,Kumluca,TR,36.3703,30.2869,53.11,78,100,2.98,light rain
172,Marienburg,PL,54.0359,19.0266,39.11,95,100,8.99,overcast clouds
173,Balkanabat,TM,39.5108,54.3671,56.84,30,96,10.2,overcast clouds
174,Boone,US,39.0334,-92.3335,13.66,89,100,5.99,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,80.13,80,100,8.12,overcast clouds
176,San Cristobal,VE,7.7669,-72.225,79.45,43,92,6.29,overcast clouds
177,Nishihara,JP,26.1842,127.7558,61.88,88,75,11.5,light rain
178,Baruun-Urt,MN,46.6806,113.2792,-11.15,90,5,4.43,clear sky
179,Tiksi,RU,71.6872,128.8694,-10.62,99,100,5.06,overcast clouds
180,Barcelos,PT,41.5388,-8.6151,62.85,68,100,5.97,overcast clouds
181,Constitucion,CL,-35.3333,-72.4167,64.62,67,1,4.21,clear sky
