City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,North Bend,US,2022-01-29 22:13:48,43.4065,-124.2243,55.92,85,0,12.66
68,Kapaa,US,2022-01-29 22:09:07,22.0752,-159.319,80.58,71,0,3.0
69,Vanavara,RU,2022-01-29 22:13:48,60.34,102.2797,-5.85,99,100,3.02
70,Salisbury,GB,2022-01-29 22:13:49,51.0693,-1.7957,45.48,82,43,7.27
71,Arraial Do Cabo,BR,2022-01-29 22:13:06,-22.9661,-42.0278,75.27,94,80,13.49
72,Saint-Philippe,RE,2022-01-29 22:13:49,-21.3585,55.7679,76.59,86,51,8.77
73,Mareeba,AU,2022-01-29 22:13:49,-17.0,145.4333,74.48,84,98,2.3
74,Upernavik,GL,2022-01-29 22:13:50,72.7868,-56.1549,3.04,92,100,9.6
75,Suntar,RU,2022-01-29 22:13:50,62.1444,117.6319,-16.73,97,67,5.01
76,Saskylakh,RU,2022-01-29 22:12:25,71.9167,114.0833,-21.17,100,99,3.49
77,Tiksi,RU,2022-01-29 22:13:50,71.6872,128.8694,-8.73,99,57,4.27
78,Chuy,UY,2022-01-29 22:13:51,-33.6971,-53.4616,71.42,68,16,10.65
79,Yellowknife,CA,2022-01-29 22:13:51,62.456,-114.3525,-4.59,86,87,5.99
80,Freeport,US,2022-01-29 22:13:49,40.6576,-73.5832,20.97,69,100,8.99
81,Am Timan,TD,2022-01-29 22:13:28,11.0297,20.2827,74.03,18,32,8.03
82,Touros,BR,2022-01-29 22:13:51,-5.1989,-35.4608,79.7,78,87,10.45
83,Kazachinskoye,RU,2022-01-29 22:13:52,57.6953,93.2761,-5.8,99,100,2.84
84,Vaini,TO,2022-01-29 22:13:52,-21.2,-175.2,81.48,78,100,15.75
85,Tazovskiy,RU,2022-01-29 22:13:52,67.4667,78.7,-13.16,99,96,7.02
86,Norfolk,US,2022-01-29 22:12:56,42.1668,-71.2495,18.88,91,100,1.99
87,New Norfolk,AU,2022-01-29 22:14:53,-42.7826,147.0587,64.65,58,20,1.99
88,Udimskiy,RU,2022-01-29 22:14:53,61.1417,45.9144,14.29,96,100,5.95
89,Isangel,VU,2022-01-29 22:14:54,-19.55,169.2667,77.11,100,100,4.61
90,Prince Rupert,CA,2022-01-29 22:14:54,54.3161,-130.3201,42.89,93,100,2.3
